"date","datatype","station","value","fl_m","fl_q","fl_so","fl_t","units"
"2016-10-20T00:00:00","PRCP","GHCND:AR000875850",249,"","","S","","mm_tenths"
"2016-10-21T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2016-10-22T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-26T00:00:00","PRCP","GHCND:AR000875850",130,"","","S","","mm_tenths"
"2016-10-27T00:00:00","PRCP","GHCND:AR000875850",8,"","","S","","mm_tenths"
"2016-10-28T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-11-01T00:00:00","PRCP","GHCND:AR000875850",170,"","","S","","mm_tenths"
"2016-11-02T00:00:00","PRCP","GHCND:AR000875850",259,"","","S","","mm_tenths"
"2016-11-03T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-11-04T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-11-13T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-11-14T00:00:00","PRCP","GHCND:AR000875850",211,"","","S","","mm_tenths"
"2016-11-15T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-12-06T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2016-12-07T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-12-23T00:00:00","PRCP","GHCND:AR000875850",269,"","","S","","mm_tenths"
"2016-12-24T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-12-25T00:00:00","PRCP","GHCND:AR000875850",150,"","","S","","mm_tenths"
"2016-12-26T00:00:00","PRCP","GHCND:AR000875850",381,"","","S","","mm_tenths"
"2016-12-27T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-01T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-08T00:00:00","PRCP","GHCND:AR000875850",381,"","","S","","mm_tenths"
"2017-01-09T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-10T00:00:00","PRCP","GHCND:AR000875850",300,"","","S","","mm_tenths"
"2017-01-11T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-16T00:00:00","PRCP","GHCND:AR000875850",119,"","","S","","mm_tenths"
"2017-01-17T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-01-18T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-25T00:00:00","PRCP","GHCND:AR000875850",89,"","","S","","mm_tenths"
"2017-01-26T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-01-31T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-02-01T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2017-02-02T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-02-05T00:00:00","PRCP","GHCND:AR000875850",160,"","","S","","mm_tenths"
"2017-02-06T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2017-02-07T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-02-11T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2017-02-12T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2017-02-13T00:00:00","PRCP","GHCND:AR000875850",351,"","","S","","mm_tenths"
"2017-02-14T00:00:00","PRCP","GHCND:AR000875850",259,"","","S","","mm_tenths"
"2017-02-15T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2017-02-16T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-02-17T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-02-18T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2017-02-19T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-02-22T00:00:00","PRCP","GHCND:AR000875850",330,"","","S","","mm_tenths"
"2017-02-23T00:00:00","PRCP","GHCND:AR000875850",170,"","","S","","mm_tenths"
"2017-02-24T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-02-28T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-03T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2017-03-04T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-05T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-09T00:00:00","PRCP","GHCND:AR000875850",419,"","","S","","mm_tenths"
"2017-03-10T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-16T00:00:00","PRCP","GHCND:AR000875850",300,"","","S","","mm_tenths"
"2017-03-17T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-27T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-03-31T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2017-04-01T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-04-03T00:00:00","PRCP","GHCND:AR000875850",89,"","","S","","mm_tenths"
"2017-04-04T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-04-09T00:00:00","PRCP","GHCND:AR000875850",381,"","","S","","mm_tenths"
"2017-04-10T00:00:00","PRCP","GHCND:AR000875850",191,"","","S","","mm_tenths"
"2017-04-11T00:00:00","PRCP","GHCND:AR000875850",119,"","","S","","mm_tenths"
"2017-04-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2017-04-17T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
